OBJECTID,CAM17U_COD,CAM17U_DEN,WIKIDATA,CAM17U_NOM,POP_2011,Shape_Leng,Shape_Area,MS_FB,MS_FB_PARE
133,CU121_02,Lazio 1 - 02,Q48080267,Roma - Quartiere Montesacro,210856.0,29280.5484609,24663562.2462,country:it/region:laz/cam_uni:cu121-02,country:it/region:laz
134,CU121_03,Lazio 1 - 03,Q48080276,Roma - Zona Castel Giubileo,281209.0,183671.413341,378185778.24,country:it/region:laz/cam_uni:cu121-03,country:it/region:laz
135,CU121_04,Lazio 1 - 04,Q48080286,Roma - Quartiere Collatino,264487.0,86051.7361325,98418873.0394,country:it/region:laz/cam_uni:cu121-04,country:it/region:laz
136,CU121_05,Lazio 1 - 05,Q48080296,Roma - Zona Torre Angela,300907.0,57584.7489751,57164851.7265,country:it/region:laz/cam_uni:cu121-05,country:it/region:laz
137,CU121_06,Lazio 1 - 06,Q48080308,Roma - Quartiere Tuscolano,220984.0,26946.2621483,25328550.7251,country:it/region:laz/cam_uni:cu121-06,country:it/region:laz
138,CU121_07,Lazio 1 - 07,Q48080317,Roma - Pomezia,272770.0,132969.550042,303304968.927,country:it/region:laz/cam_uni:cu121-07,country:it/region:laz
139,CU121_08,Lazio 1 - 08,Q48080321,Roma - Quartiere Ardeatino,254670.0,49828.5539149,52155335.6466,country:it/region:laz/cam_uni:cu121-08,country:it/region:laz
140,CU121_09,Lazio 1 - 09,Q48080325,Roma - Fiumicino,303165.0,146181.352749,503889098.492,country:it/region:laz/cam_uni:cu121-09,country:it/region:laz
141,CU121_10,Lazio 1 - 10,Q48080333,Roma - Quartiere Gianicolense,241266.0,38837.1778471,36514034.8358,country:it/region:laz/cam_uni:cu121-10,country:it/region:laz
142,CU121_11,Lazio 1 - 11,Q48080338,Roma - Quartiere Primavalle,212059.0,65556.4121733,92097191.163,country:it/region:laz/cam_uni:cu121-11,country:it/region:laz
143,CU121_12,Lazio 1 - 12,Q48080349,Guidonia Montecelio,275188.0,239896.943797,1075602638.6,country:it/region:laz/cam_uni:cu121-12,country:it/region:laz
144,CU121_13,Lazio 1 - 13,Q48080356,Velletri,287143.0,210105.12391,417009722.784,country:it/region:laz/cam_uni:cu121-13,country:it/region:laz
145,CU121_14,Lazio 1 - 14,Q48080370,Marino,281872.0,241952.23398,689344813.752,country:it/region:laz/cam_uni:cu121-14,country:it/region:laz
146,CU122_01,Lazio 2 - 01,Q48080378,Viterbo,282808.0,446739.985695,3022174283.92,country:it/region:laz/cam_uni:cu122-01,country:it/region:laz
147,CU122_02,Lazio 2 - 02,Q48080389,Civitavecchia,293946.0,453756.12743,1690707364.49,country:it/region:laz/cam_uni:cu122-02,country:it/region:laz
148,CU122_03,Lazio 2 - 03,Q48080399,Rieti,266128.0,461419.344994,3232935041.01,country:it/region:laz/cam_uni:cu122-03,country:it/region:laz
149,CU122_04,Lazio 2 - 04,Q48080409,Frosinone,256888.0,226082.805289,1427538959.09,country:it/region:laz/cam_uni:cu122-04,country:it/region:laz
150,CU122_05,Lazio 2 - 05,Q48080416,Cassino,235773.0,231940.07135,1819423830.0,country:it/region:laz/cam_uni:cu122-05,country:it/region:laz
151,CU122_06,Lazio 2 - 06,Q48080425,Terracina,249453.0,342513.262252,1161196169.39,country:it/region:laz/cam_uni:cu122-06,country:it/region:laz
152,CU122_07,Lazio 2 - 07,Q48080431,Latina,295279.0,237993.62422,1094939530.61,country:it/region:laz/cam_uni:cu122-07,country:it/region:laz
153,CU131_01,Abruzzo - 01,Q48075587,L'Aquila,249425.0,544069.504393,4319553068.13,country:it/region:abr/cam_uni:cu131-01,country:it/region:abr
154,CU131_02,Abruzzo - 02,Q48078447,Teramo,306349.0,236586.536985,1954337341.54,country:it/region:abr/cam_uni:cu131-02,country:it/region:abr
155,CU131_03,Abruzzo - 03,Q48078864,Pescara,271890.0,191308.658028,582442876.879,country:it/region:abr/cam_uni:cu131-03,country:it/region:abr
156,CU131_04,Abruzzo - 04,Q48080444,Chieti,229317.0,373987.966844,1819120458.61,country:it/region:abr/cam_uni:cu131-04,country:it/region:abr
157,CU131_05,Abruzzo - 05,Q48080456,Vasto,250328.0,278548.159605,2156042415.34,country:it/region:abr/cam_uni:cu131-05,country:it/region:abr
158,CU141_01,Molise - 01,Q48080469,Isernia,149233.0,441495.633281,2678248853.46,country:it/region:mol/cam_uni:cu141-01,country:it/region:mol
159,CU141_02,Molise - 02,Q48080476,Campobasso,164427.0,290397.003564,1782187722.18,country:it/region:mol/cam_uni:cu141-02,country:it/region:mol
160,CU151_01,Campania 1 - 01,Q48080484,Giugliano in Campania,294965.0,73190.6920913,131081184.026,country:it/region:cam/cam_uni:cu151-01,country:it/region:cam
161,CU151_02,Campania 1 - 02,Q48080497,Nola,226405.0,118540.174443,235242411.797,country:it/region:cam/cam_uni:cu151-02,country:it/region:cam
162,CU151_03,Campania 1 - 03,Q48080510,Acerra,279088.0,86818.074194,153907601.386,country:it/region:cam/cam_uni:cu151-03,country:it/region:cam
163,CU151_04,Campania 1 - 04,Q48080518,Casoria,294762.0,45862.7226582,52030903.3319,country:it/region:cam/cam_uni:cu151-04,country:it/region:cam
164,CU151_05,Campania 1 - 05,Q48080528,Napoli - Circoscrizione 7 San Carlo all'Arena,232949.0,43699.0135554,20888638.9902,country:it/region:cam/cam_uni:cu151-05,country:it/region:cam
